Runapak Hayñikunata Hatun willay	Declaración Universal de Derechos Humanos	0.22
6 niki Tukuy runakaymi paykunapak hayñita charin, tukuy lIaktakunapimi paypak kikin kamachiychishkata riksishka hayñita charin.	Artículo 6 Todo ser humano tiene derecho, en todas partes, al reconocimiento de su personalidad jurídica.	2.66168
<p>	<p>	0
7 niki Kamachiypak ñawpakpika tukuykunami paktapakta kanchik, mana chikanyachishka kanchu, kamachiypash paktapakta kamashkami kan.	Artículo 7 Todos son iguales ante la ley y tienen, sin distinción, derecho a igual protección de la ley.	2.5931
Kay willashka, "Runakunapak Hayñita" pipash sarushpa runakunata piñakukpi, millakukpika tukuykunami sinchita shayarishpa harkana hayñita charin.	Todos tienen derecho a igual protección contra toda discriminación que infrinja esta Declaración y contra toda provocación a tal discriminación.	0.288095
Tukuysami saruykachaytapash harkanami kan.		-0.3
<p>	<p>	0
8 niki Tukuy runakunami kimsa kamachikpak ñawpakpi, ima Ilakimantapash paypak illuta nishpa paktachina hayñita charin; paypak Mamakamachiy arinishka, shuktak kamachiykunapash arinishka tiksihayñita wakllichikukpika Ilaktakunaka mana sakinachu.	Artículo 8 Toda persona tiene derecho a un recurso efectivo, ante los tribunales nacionales competentes, que la ampare contra actos que violen sus derechos fundamentales reconocidos por la constitución o por la ley.	1.57627
<p>	<p>	0
9 niki Mana huchayuk runataka pipash mana yanka watankachu.	Artículo 9 Nadie podrá ser arbitrariamente detenido, preso ni desterrado.	3.525
Wanachina amsa ukupi mana pipash churankachu, paypak kawsana allpamantapash pipash mana surkunkachu.		-0.3
<p>	<p>	0
10 niki Tukuy runami pay rimashkata kimsa kamachikpak ñawpakpi, tukuy runakunapak ñawpakpi, shuktak runakuna shinallatak paktapakta uyachina hayñita charin. ~~~ Paytak mana kimirishka kishpiychik kamachik, hayñikunata, mañashkata rikushpa shukkutin ima kaktapash nichun.	Artículo 10 Toda persona tiene derecho, en condiciones de plena igualdad, a ser oída públicamente y con justicia por un tribunal independiente e imparcial, para la determinación de sus derechos y obligaciones o para el examen de cualquier acusación contra ella en materia penal.	1.02032
Hucha tiyakpika wanachina wasiman kachachun, kutin mana hucha tiyakpika kishpiychinami kan.		-0.3
<p>	<p>	0
11 niki 2.	Artículo 11 1.	8.41667
Tukuy huchachishka runakunami, hucha mana illu kakpika lIullapi Ilukshina hayñita charin. ~~~ Huchachishkata lIullapi lIukshinkapaka: kamachikkuna imata nishkawan, tantarishka runakuna imata nishkawan, taripaypi imata nishkawanmi sinchita shayarishpa kishpiyrina hayñita charin.	Toda persona acusada de delito tiene derecho a que se presuma su inocencia mientras no se pruebe su culpabilidad, conforme a la ley y en juicio público en el que se le hayan asegurado todas las garantías necesarias para su defensa.	0.0575188
3.	2.	0.3
Mamallaktapak hayñi ñawpakpi, IstalIaktapura hayñi ñawpakpi, lIakita rurashka mana ancha hucha kakpika mana pipash supaychashka kankachu.	Nadie será condenado por actos u omisiones que en el momento de cometerse no fueron delictivos según el Derecho nacional o internacional.	0.637557
Llakita aparikuy pachapi wanachishkata yalli Ilashak wanaytapash mana churankachu	Tampoco se impondrá pena más grave que la aplicable en el momento de la comisión del delito.	0.587838
<p>	<p>	0
12 niki Mana pipash kinkinpak kawsaypi, wasipi, ayllupi yanka yaykurinata charinchu.	Artículo 12 Nadie será objeto de injerencias arbitrarias en su vida privada, su familia, su domicilio o su correspondencia, ni de ataques a su honra o a su reputación.	3.29
Kikinpak alli kawsayta, shutitapash mana yanka haminachu kan, payman kachashka willaytapash mana paskanachu kan.	Toda persona tiene derecho a la protección de la ley contra tales injerencias o ataques.	0.6
Tukuy runami kamachiwan killparishpa, kikin kawsayman mana pipash satirichun, harkana hayñita charin.		-0.3
<p>	<p>	0
13 niki 1.	Artículo 13 1.	9.16667
Tukuy runami paypak lIaktapika kishpiyrishka purinata, maypi kawsana kuskata akllana hayñita charin.	Toda persona tiene derecho a circular libremente y a elegir su residencia en el territorio de un Estado.	0.75472
2.	2.	1.8
Tukuy runami mayhan lIaktamanta, paypak lIaktamantapash lIukshirina hayñita charin.	Toda persona tiene derecho a salir de cualquier país, incluso el propio, y a regresar a su país.	0.884211
Kutin paypak lIaktaman tikramuna hayñitapash charinmi.		-0.3
<p>	<p>	0
14 niki 1.	Artículo 14 1.	9.16667
Katikachakpika, tukuy runami mitikushpa pakakukuna kuskata mashkana hayñita charin, chay hayñiwanmi may Ilaktapipash alli kuskapi kawsanata ushan.	En caso de persecución, toda persona tiene derecho a buscar asilo, y a disfrutar de él, en cualquier país.	0.825094
2.	2.	1.8
Kay hayñika huchayuk pakakukushka lIaktapak kamachiykunawanpash mana takarikchu kan.		-0.3
Shinapash kay hayñika, ancha huchata charik runataka mana yanapak kanchu, shillatak tinkirishka lIaktakuna kamachishkata saruktaka mana yanapankachu.	Este derecho no podrá ser invocado contra una acción judicial realmente originada por delitos comunes o por actos opuestos a los propósitos y principios de las Naciones Unidas.	0.430846
<p>	<p>	0
15 niki 2.	Artículo 15 1.	8.41667
Tukuy runami shuktak Ilaktaman lIaktayana hayñita charin.	Toda persona tiene derecho a una nacionalidad.	0.219512
3.	2.	0.3
Llaktayay hayñitaka mana kichunkachu, shuktak lIaktaman rantinchirina Ilaktayay hayñitapash mana kichunkachu.	A nadie se privará arbitrariamente de su nacionalidad ni del derecho a cambiar de nacionalidad.	0.734146
<p>	<p>	0
16 niki 1.	Artículo 16 1.	9.16667
Kariwarmi paykkunapak mitata paktachishpaka, tullputa mana rikushpalla, ista kashkata mana rikushpalla, imata iñikta mana rikushpalla sawarina hayñitami charin. ~~~ Shina yayamama tukushpa, shuk aylluta wallpashpa, kariwarmi paktapakta sawarishka kawsay watakama sumaktami kawsanka. ~~~ Sawarishkamanta rakirishpapash allita kawsana hayñitami charin.	Los hombres y las mujeres, a partir de la edad núbil, tienen derecho, sin restricción alguna por motivos de raza, nacionalidad o religión, a casarse y fundar una familia; y disfrutarán de iguales derechos en cuanto al matrimonio, durante el matrimonio y en caso de disolución del matrimonio.	0.0403874
2.	2.	1.8
Kariwarmi, paykuna kishpiyrishka yuyaywan munanakushpallami sawarinka.	Sólo mediante libre y pleno consentimiento de los futuros esposos podrá contraerse el matrimonio.	0.642208
3.	3.	1.8
Llaktakunapak tiksi nipaka ayllumi kan, chaymantami paykunaka ayllullaktapash, Mamallaktapash kamanka.	La familia es el elemento natural y fundamental de la sociedad y tiene derecho a la protección de la sociedad y del Estado.	0.274468
<p>	<p>	0
17 niki 1.	Artículo 17 1.	9.16667
Tukuy runami maypi, kikinllapak allpata, wasita, nipakunatapash charina hayñita charin.	Toda persona tiene derecho a la propiedad, individual y colectivamente. ~~~ 2.	-0.0268657
Sapsiyarishpa charina hayñitapash charinmi.		-0.3
2.Pipash paykunapak allpata, wasita, imatapash mana kichunkallachu kan.	Nadie será privado arbitrariamente de su propiedad.	0.551087
<p>	<p>	0
18 niki Tukuy runami kishpiyrishka yuyayta, shunkuyuyayta, iñina hayñita charin. ~~~ Shuktak iñinaman yallinata, pay munashka pachakamakta katinatapash ushanmi. ~~~ Shinallatak shuklla, tantarishpapash shuk iñita katina hayñitapash charinmi. ~~~ Tukuykunapak ñawpakpi payllapash, shuk iñita rikuchina hayñitapash charinmi.	Artículo 18 Toda persona tiene derecho a la libertad de pensamiento, de conciencia y de religión; este derecho incluye la libertad de cambiar de religión o de creencia, así como la libertad de manifestar su religión o su creencia, individual y colectivamente, tanto en público como en privado, por la enseñanza, la práctica, el culto y la observancia.	0.776799
<p>	<p>	0
19 niki Tukuy runami imatapash willana, rimana hayñita charin; kaytaka pipash katirayashpa harkanata mana ushanchu. ~~~ Taripayta, willayta, alli yuyayta chaskinataka ushanmi. ~~~ Pay wiñachishka sumak yuyaykunataka: ankimanta, karurikuchikmanta, shuktak ñanmantapash mana saywarishpalla willanatami charin.	Artículo 19 Todo individuo tiene derecho a la libertad de opinión y de expresión; este derecho incluye el no ser molestado a causa de sus opiniones, el de investigar y recibir informaciones y opiniones, y el de difundirlas, sin limitación de fronteras, por cualquier medio de expresión.	0.826225
<p>	<p>	0
20 niki 1.	Artículo 20 1.	9.16667
Tukuy runami tantarina kishpiyta, kasilla tantanakuna hayñita charin.	Toda persona tiene derecho a la libertad de reunión y de asociación pacíficas.	0.947619
2.	2.	1.8
Mana pipash munay, mana munay tantanakuchun mañashka kankachu.	Nadie podrá ser obligado a pertenecer a una asociación.	0.25
<p>	<p>	0
21 niki 1.	Artículo 21 1.	9.16667
Tukuy runami paypak Ilaktapak kamachikpipak ukupi llankana hayñita charin. ~~~ Sapalla yaykurishpa, mana kashpaka akllashka kashpapash kamachik tukuna hayñita charinmi.	Toda persona tiene derecho a participar en el gobierno de su país, directamente o por medio de representantes libremente escogidos.	0.347015
1.	2.	0.3
Tukuy runami paypak Ilaktapika, shuktak runakuna shinallatak tukuylla awlliman paktapakta yaykurina hayñita charin.	Toda persona tiene el derecho de acceso, en condiciones de igualdad, a las funciones públicas de su país.	1.10658
2.	3.	0.3
LLaktakunapak munaymi, tukuy runakunapak tiksi kamachik ushay kan, kaytaka kikin watanta tukuy Ilaktakunapi kamachikkunata akllaypiml rikuchina kan. ~~~ Shinapash pakalla, pipash mana yuyachishka, kikinllatakmi shutita kuna kan. ~~~ Shinallatak nishanik shuktak sami akllaykunapi apuchipash kamashkami kan.	La voluntad del pueblo es la base de la autoridad del poder público; esta voluntad se expresará mediante elecciones auténticas que habrán de celebrarse periódicamente, por sufragio universal e igual y por voto secreto u otro procedimiento equivalente que garantice la libertad del voto.	-0.120792
<p>	<p>	0
22 niki Llaktapak ayllu kashkamantaka, tukuy runakunami kamaykawsaywan kawsana hayñita charin. ~~~ Allita kawsankapaka payllatakmi ñakarina kan, kay ayllutaka, paypak Mamallaktapash, ista MamaIlaktakunapash yanapanatami charin. ~~~ Paypak Ilaktapi tiyashka kullkiwan, nipakunawan yanaparishpa sumakta kawsana hayñitami charin. ~~~ Kacharishka kawsayta charishpa, pay munashka sumaykay wiñariynatapash ushanmi.	Artículo 22 Toda persona, como miembro de la sociedad, tiene derecho a la seguridad social, y a obtener, mediante el esfuerzo nacional y la cooperación internacional, habida cuenta de la organización y los recursos de cada Estado, la satisfacción de los derechos económicos, sociales y culturales, indispensables a su dignidad y al libre desarrollo de su personalidad.	0.523824
<p>	<p>	0
23 niki 1.	Artículo 23 1.	9.16667
Tukuy runami Ilankana, lIankayta akllana kishpiyrishka hayñita charin.		-0.3
Kikin munashka paktapakta lIankaytami charina kan. ~~~ Llankaymanta mana shitashka kankapaka, paypak lIankayta payllatak kamarayanami kan.	Toda persona tiene derecho al trabajo, a la libre elección de su trabajo, a condiciones equitativas y satisfactorias de trabajo y a la protección contra el desempleo.	0.171711
2.	2.	1.8
Tukuy runami mana akllarishka kana, paypak Ilankashkamantapash paktapakta kullkita chaskina hayñitami charin.	Toda persona tiene derecho, sin discriminación alguna, a igual salario por trabajo igual.	0.219231
3.	3.	1.8
Tukuy Ilankak runami, pay lIankashkamantaka kushilla, llankaywan pakta kak kullkita hapinata charin. ~~~ Shina paypak aylluman alli kawsayta kuchun, paypash alli kawsayta charichun. ~~~ Kay illakpika mayhansami kamaywanpash paktachishkami kanka.	Toda persona que trabaja tiene derecho a una remuneración equitativa y satisfactoria, que le asegure, así como a su familia, una existencia conforme a la dignidad humana y que será completada, en caso necesario, por cualesquiera otros medios de protección social.	-0.0639574
4.	4.	1.8
Tukuy runami tantanakuyta wiñachina hayñita charin, chay tantanakuyka paykunapak charishkatalla kamankapakka mana kanchu.	Toda persona tiene derecho a fundar sindicatos y a sindicarse para la defensa de sus intereses.	0.406878
<p>	<p>	0
24 niki Tukuy runami samarina hayñita charin, kacharishka samaypachata amikta kushiyarina hayñitapash charinmi. ~~~ Tawka watakama, shaykunkakama Ilankana kuskatami charin, samarishka pachamantapash kullkita hapinami kan.	Artículo 24 Toda persona tiene derecho al descanso, al disfrute del tiempo libre, a una limitación razonable de la duración del trabajo y a vacaciones periódicas pagadas.	1.21821
<p>	<p>	0
25 niki 1.	Artículo 25 1.	9.16667
	Toda persona tiene derecho a un nivel de vida adecuado que le asegure, así como a su familia, la salud y el bienestar, y en especial la alimentación, el vestido, la vivienda, la asistencia médica y los servicios sociales necesarios; tiene asimismo derecho a los seguros en caso de desempleo, enfermedad, invalidez, viudez, vejez y otros casos de pérdida de sus medios de subsistencia por circunstancias independientes de su voluntad.	-0.3
1.	2.	0.3
Tukuy runami paypak kawsaykamata kuchun, alli kawsayta kuk patapi llankana hayñita charin.	La maternidad y la infancia tienen derecho a cuidados y asistencia especiales.	0.477828
Shinallatak paypak aylluta, allikawsayta, allikayta, alli mikuyta, alli churarinata, alli wasita, alli hampirinata, mitachita tantanakuyman charina hayñita charin.	Todos los niños, nacidos de matrimonio o fuera de matrimonio, tienen derecho a igual protección social.	0.633906
Shinallatak mana Ilankayta charishpa, unkushka kashpa, wakllirishka kashpa, sapalla kashpa, payayashpa, shuktak lIakikunata charishpapash yanapayta mañana hayñita charinmi.		-0.3
2 Chichu warmipash, Ilullu wawakunapash alli kawsayta charina, allinta kamashka kana hayñitami charin.Tukuy kariwarmi wawami, sawarishka yayamama wachashka kashpa, kuytsa wachashka kashpa, mana yumaymanta wachashka kashpapash paktapakta kamana hayñitami charin.		-0.3
<p>	<p>	0
26 niki 1.	Artículo 26 1.	9.16667
Tukuy runami yachana hayñita charin.	Toda persona tiene derecho a la educación.	0.263636
Tiksi yachay, chawpi yachay, hatun yachaymantapash mana kullkita kunachu.	La educación debe ser gratuita, al menos en lo concerniente a la instrucción elemental y fundamental.	0.204545
Tiksi yachayka tukuykunapak yachanatakmi kan, yachanamantaka mana pipash sakirinachu.	La instrucción elemental será obligatoria.	0
Rurayyachay, sumakyachaypash hatunyashpa tukuy Ilaktamanmi chayana kan. ~~~ Hatun yachaykunaman yaykunaka tukuypak paktami kanka, shinami paykuna chaskina kashkata paktachinka.	La instrucción técnica y profesional habrá de ser generalizada; el acceso a los estudios superiores será igual para todos, en función de los méritos respectivos.	0.0238636
2.	2.	1.8
Yachayka runakuna yuyaypi may alli wiñarinatami yanapanka, runapak hayñikunapi iñiyta, tiksi kishpiyrinatami sinchiyachinka. ~~~ Llaktapura, runakawsaypura, iñikpura hamutayta, hikullayta mashiyarina sinchiyachunmi yanapanka. ~~~ Tinkirishka Mamallaktakuna kasiklla kawsayta charirayachunmi willashpa runakuman yachachinka.	La educación tendrá por objeto el pleno desarrollo de la personalidad humana y el fortalecimiento del respeto a los derechos humanos y a las libertades fundamentales; favorecerá la comprensión, la tolerancia y la amistad entre todas las naciones y todos los grupos étnicos o religiosos; y promoverá el desarrollo de las actividades de las Naciones Unidas para el mantenimiento de la paz.	-0.160294
3.	3.	1.8
Taytamamaka imasami yachayta churikunaman kunkapaka, akllana hayñitami charin.	Los padres tendrán derecho preferente a escoger el tipo de educación que habrá de darse a sus hijos.	0.583333
<p>	<p>	0
27 niki 1.	Artículo 27 1.	9.16667
Tukuy runami kishpiyrishka yuyaywan ayllullaktawan kimirishka kawsana hayñita charin, makiruraykunawan kushiyarina, amawtariy katikuy Ilankaypipash chaypimi kanka. ~~~ Pay yuyayta kushkamantapash imallatapash hapinatami charin.	Toda persona tiene derecho a tomar parte libremente en la vida cultural de la comunidad, a gozar de las artes y a participar en el progreso científico y en los beneficios que de él resulten.	0.344887
2.	2.	1.8
Tukuy runami paypak alli shutita, amawta lIankaymanta rikurishka nipakunata kamana hayñita charin. ~~~ Pay killkashka arawikunata, lIankashka makiruraytapash kamanami kan.	Toda persona tiene derecho a la protección de los intereses morales y materiales que le correspondan por razón de las producciones científicas, literarias o artísticas de que sea autora.	0.340516
<p>	<p>	0
28 niki Tukuy runami tukuy paypak lIaktapi kawsak runakuna, istallaktapi kawsak runakunapash nikishka kawsayta charichun yanapana hayñita charin. ~~~ Shina kay hayñi, kishpiyripash tinkirishka Ilaktakuna willashka hayñikuna tukuy Ilaktaman paktachun.	Artículo 28 Toda persona tiene derecho a que se establezca un orden social e internacional en el que los derechos y libertades proclamados en esta Declaración se hagan plenamente efectivos.	0.989106
<p>	<p>	0
29 niki 2.	Artículo 29 1.	8.41667
Tukuy runami ayllukunaman ruraykunata kuna kan. ~~~ Paypak ayllullaktapillami kishpiyri hunta kawsayta, kikinkayta charishpa may allita wiñarinka.	Toda persona tiene deberes respecto a la comunidad, puesto que sólo en ella puede desarrollar libre y plenamente su personalidad.	-0.0256757
1.	2.	0.3
Paypak hayñiwan, kishpiyariwan kushiyarishpaka kamachiykuna nishkapilla watarishpami saywarishka kanka.		-0.3
Payka, kikin hayñita, kishpiyta, iñina yuyayta, alli runakayta, sumakchayta, llakta ushayta paktachina raykumi allita ruranka. ~~~ Kipaka: ayllukuna, tukuy lIaktakuna sumaklla tiyachun, mana mashikunata kichushpa, kamishpa, millashpa kawsachun yuyashpami kamachiy nishkata paktachinka.	En el ejercicio de sus derechos y en el disfrute de sus libertades, toda persona estará solamente sujeta a las limitaciones establecidas por la ley con el único fin de asegurar el reconocimiento y el respeto de los derechos y libertades de los demás, y de satisfacer las justas exigencias de la moral, del orden público y del bienestar general en una sociedad democrática.	-0.00567227
3.	3.	1.8
Tinkirishka Ilaktakuna yuyarishkata tiksi hayñiwan, kishpiyriwan, nimamantapash Tinkirishka Llaktakunawan takarina yuyaytaka mana charinachu.	Estos derechos y libertades no podrán en ningún caso ser ejercidos en oposición a los propósitos y principios de las Naciones Unidas.	0.469153
Tukuykunami mashiyarishpa kishpiy yuyaywan Ilankana kan.		-0.3
<p>	<p>	0
30 niki Kay tinkirishka Ilaktakuna willashka hayñikunata, kishpiyrikunataka, shuklla runamanpash, tantanakuymanpash yanka mana pantata willanallachu. ~~~ Runapak hayñita, kishpiyri yuyayta pichana yuyaytaka mana charinachu.	Artículo 30 Nada en la presente Declaración podrá interpretarse en el sentido de que confiere derecho alguno al Estado, a un grupo o a una persona, para emprender y desarrollar actividades o realizar actos tendientes a la supresión de cualquiera de los derechos y libertades proclamados en esta Declaración.	1.08199
<p>	<p>	0
