AWKIKAY MIKUYTA KAMACHICHISHKA TANTACHIK KAMACHIY I KAPAKNIKI Hatun kallarikuna	LEY ORGÁNICA DEL RÉGIMEN DE LA SOBERANÍA ALIMENTARIA TÍTULO I PRINCIPIOS GENERALES	0.6
e) Kullkitupu llaktayta, manukullkita, kamachishka kullkita, chakramanta mikunata ukllak hatun shuktak llaktaykunata wawanchina, shina kanchamanta mikunata ama apamunapash kachun;	e) Adoptar políticas fiscales, tributarias, arancelarias y otras que protejan al sector agroalimentario nacional para evitar la dependencia en la provisión alimentaria; y,	0.876
<p>	<p>	0
f) Runakuna chaypi kachun mirachina, kariwarmi paktapakta rimanakushpa kamachiykunata killkachun mirachina, shinallatak mikuna awkikayman kimirik wallpay mirarikta chutachina llaktayta ñawpachinapash.	f) Promover la participación social y la deliberación pública en forma paritaria entre hombres y mujeres en la elaboración de leyes y en la formulación e implementación de políticas relativas a la soberanía alimentaria.	0.72033
<p>	<p>	0
4 niki.	Artículo 4.	1.12857
Kamachiyta Paktachina Kallari.	Principios de aplicación de la ley.	0.27931
Kay kamachiyka: yanapay, kikinllatak ariniy, achikllay, mana chikanyachishpa, tukuykunaman paktachun, kipa watakunapak kachun, tukuy Mamallaktapi mikuna tiyachun, murukuna pukuchiypi tukuy kariwarmi kachun kamachichinka; kullkita chaskinkapa runakuna tukuykuna yaykuchun, kawsaypurayay kachun, mana unkuywan mikuna kachun, llankana uchilla wasikuna charikta, uchilla, paktalla pukuchikkunapaklla kallari kamachiyta paktachishka kanka.	Esta ley se regirá por los principios de solidaridad, autodeterminación, transparencia, no discriminación, sustentabilidad, sostenibilidad, participación, prioridad del abastecimiento nacional, equidad de género en el acceso a los factores de la producción, equidad e inclusión económica y social, interculturalidad, eficiencia e inocuidad, con especial atención a los microempresarios, microempresa o micro, pequeña y mediana producción.	0.882281
II Kapakniki Mikuna Kapukkunaman Imashina Yaykuna I wankuriy Yakuman, allpaman yaykuna	TÍTULO II ACCESO A LOS FACTORES DE PRODUCCIÓN ALIMENTARIA CAPÍTULO I ACCESO AL AGUA Y A LA TIERRA	1.03442
<p>	<p>	0
5 niki.	Artículo 5.	1.12857
Yakuman Yaykuna.	Acceso al Agua.	0.257143
Murukunata pukuchinkapa, imata kapukyachinkapa yakuman yaykunkapa, yakuta hapinkapapash Yaku Kamachiypi nishkawanmi kamachichinka, imatalla yakuwan ruranatapash uchilla kamachiykunapi nishkawanmi paktachina.	El Acceso y uso del agua como factor de productividad se regirá por lo dispuesto en la Ley que trate los recursos hídricos, su uso y aprovechamiento, y en los respectivos reglamentos y normas técnicas.	0.410714
Yakuta chakrapi hichankapa, wiwakunaman upyachinkapa, chalwata wiñachinkapa, murukunata mirachinkapa, shuktak llankaykunatapash rurankapaka Mamakamachiy tiksishpa rikuchishkawan yuyarishpami churanka; yakuwan imashina shuktak llankaykunata rurankapapash Yaku Kamachiypi imashina mañashka kaktami paktachina kan.	El uso del agua para riego, abrevadero de animales, acuacultura u otras actividades de la producción de alimentos, se asignará de acuerdo con la prioridad prevista en la norma constitucional, en las condiciones y con las responsabilidades que se establezcan en la referida ley.	0.437447
<p>	<p>	0
6 niki.	Artículo 6.	1.12857
Allpaman Yaykuna.	Acceso a la tierra.	0.3
Allpaman yaykuna, allpapi llankanapash runakunata yanapana, pachamamata mana wakllichinami kanka.	El uso y acceso a la tierra deberá cumplir con la función social y ambiental.	0.182813
Allpa awllika runakunaman llankayta kunami kan, llankaymanta kullkita hapishpa, kapukta katushkamanta, llankashkamanta mana chanitapash paktapaktami kuna kanka; alli allpata mana wakllichishpalla charirayanami kanka.	La función social de la tierra implica la generación de empleo, la redistribución equitativa de ingresos, la utilización productiva y sustentable de la tierra.	0.547993
Pachamamapak allpa awllika, tawkasami kawsayman kawsayta kuchun wakaychina allpami kan. ~~~ Shina kuz nikuk pampakunata, sacha pampakunata, yakunikuk tawsami kawsayyuk chukchukuk sachakunata, urkukunata, lunchikkunata charik wakaychina allpami kanka.	La función ambiental de la tierra implica que ésta procure la conservación de la biodiversidad y el mantenimiento de las funciones ecológicas; que permita la conservación y manejo integral de cuencas hidrográficas, áreas forestales, bosques, ecosistemas frágiles como humedales, páramos y manglares, que respete los derechos de la naturaleza y del buen vivir; y que contribuya al mantenimiento del entorno y del paisaje.	-0.0914798
Shinami Pachamamapak hayñita, alli kawsayta sumaychachun wakaychina; kawsay muyuntin, riksina kuskakuna tiyarayachun yanapanka. ~~~ Kikinpak allpata charina kamachiyka paktapakta patachishpa allpaman yaykunatami paskanka, kay kamachiyka allpaman yaykuna hatun kullkitami tiyachinka.	La ley que regule el régimen de propiedad de la tierra permitirá el acceso equitativo a ésta, privilegiando a los pequeños productores y a las mujeres productoras jefas de familia; constituirá el fondo nacional de tierras; definirá el latifundio, su extensión, el acaparamiento y concentración de tierras, establecerá los procedimientos para su eliminación y determinará los mecanismos para el cumplimiento de su función social y ambiental.	-0.0729249
Hatun allpata mashna sunita, shuklla tawka kuskapi charinata, ama shukpaklla tukushpa ñitirichunpash patachinka, imashina kayta anchuchinata tupunkapash.	Así mismo, establecerá los mecanismos para fomentar la asociatividad e integración de las pequeñas propiedades.	0.552551
Kay allpakunaka runakunata yanapachun, pachamamapak kawsayta charichunpash yanapanatami charin.	Además, limitará la expansión de áreas urbanas en tierras de uso o vocación agropecuaria o forestal, así como el avance de la frontera agrícola en ecosistemas frágiles o en zonas de patrimonio natural, cultural y arqueológico, de conformidad con lo que establece el Art.	0.422727
Shinallatak uchilla allpakuna tantarichun, yaykurichun shuk ñantami churanka; tarpuna allpakunapi, sacha pampakupi kitillakta wiñarichun wasikunata ruranatapash saywankami, maypimi pachamama wañurikuk allpakunapi, maypi ñawpa kawsaykuna tiyashkapi, mankakuna tiyakpi, chay kuskapi tarpuchun harkanka, kaytaka Mamallaktapak Mamakamachiy 409 nikipimi shina willakun.	409 de la Constitución de la República.	1.83088
II Wankuriy Tarpuytawkasami kawsayta Ukllay	CAPÍTULO II PROTECCIÓN DE LA AGROBIODIVERSIDAD	0.785
<p>	<p>	0
7 niki.	Artículo 7.	1.12857
Tarpuytawkasami kawsayta Ukllay.	Protección de la agrobiodiversidad.	0.280645
Mamallakta, runakunapash: sapsirishkata, pachamama llikata ukllankakuna, wakaychinkakunami; shinallatak Tarpuytawkasami kawsay kamayta kutintak sinchiyachinkapami wakaychinkakuna; payman kimirishka ñawpa yachaykunatapash wiñariychunmi ukllankakuna, wakaychinkakuna.	El Estado así como las personas y las colectividades protegerán, conservarán los ecosistemas y promoverán la recuperación, uso, conservación y desarrollo de la agrobiodiversidad y de los saberes ancestrales vinculados a ella.	0.357902
Tarpuy wiñariyta, tarpuy tawkasami kawsayta patachik kamachiyka kamankapa mutsurik tupuy kamachiykunata, kamaywasi kamachiykunata wiñachinka. ~~~ Kaytaka muyukunata chakrushpa tarpushpa, taripayta rurashpa, tawkasami wiwakunata, kiwakunata charirayanata ukllanka; muyukunata, yurakunata, shuktak kawsaykunapak kullkakunata wiñachinka. ~~~ Tarpuy tawkasami kawsayta mirachikkunata, killpakkunatapash kullkiwan yanapashpa yuyachinka.	Las leyes que regulen el desarrollo agropecuario y la agrobiodiversidad crearán las medidas legales e institucionales necesarias para asegurar la agrobiodiversidad, mediante la asociatividad de cultivos, la investigación y sostenimiento de especies, la creación de bancos de semillas y plantas y otras medidas similares así como el apoyo mediante incentivos financieros a quienes promuevan y protejan la agrobiodiversidad.	-0.120792
<p>	<p>	0
8 niki.	Artículo 8.	1.12857
Muyukuna.	Semillas.	0.3
Mamallakta, runakuna, sapsi tantarikunapash kikin muyukunata mawkayachinata, wakaychinata, chaninata, rantinchinatapash kishpirishka kachun mirachinka, ukllanka.	El Estado así como las personas y las colectividades promoverán y protegerán el uso, conservación, calificación e intercambio libre de toda semilla nativa.	0.466418
Pukuchik llankaykunata, illuykunata, katikuykunata, muyukunata mintalayta, tarpuy tawkasami kawsayta mirachinata chaypak wiñachishka kamachiywan patachinka.	Las actividades de producción, certificación, procesamiento y comercialización de semillas para el fomento de la agrobiodiversidad se regularán en la ley correspondiente.	0.6875
Shinallatak muyusapikuna, muyukuna, kikin yurakuna, ñawpa yachaykunapash Ecuador llaktapi kawsak runakuna charimushkami tukun; kay yachaykunataka pipash kichushpa payman shutichishpaka mana apankachu, shuktaklaya yuyashpa shuwaywanpash mana payman kikinyachinata ushankachu, Mamakamachiy 402 nikipi nishkawanmi mitsana.	El germoplasma, las semillas, plantas nativas y los conocimientos ancestrales asociados a éstas constituyen patrimonio del pueblo ecuatoriano, consecuentemente no serán objeto de apropiación bajo la forma de patentes u otras modalidades de propiedad intelectual, de conformidad con el Art. ~~~ 402 de la Constitución de la República.	1.31691
III Wankuriy Taripay, sumakyachaypi kana, yachaymanta rimanakuypash	CAPÍTULO III INVESTIGACIÓN, ASISTENCIA TÉCNICA Y DIÁLOGO DE SABERES	0.665
<p>	<p>	0
9 niki.	Artículo 9.	1.12857
Taripay, mikuna awkiyaypa chutaripash.	Investigación y extensión para la soberanía alimentaria.	0.175
Mamallaktaka tarpushkamanta sumakruray mikuna tiyachun amawta taripayta wiñachinka, alli kawsayta kunka; chakramanta shamuk sumakrurayta wiñachinka, shinami may alli mikunata allichina yuyayta charinka; kapukyayta, allikawsay mikunata, tarpuy tawkasami kawsayta killpanka, huntachinka.	El Estado asegurará y desarrollará la investigación científica y tecnológica en materia agroalimentaria, que tendrá por objeto mejorar la calidad nutricional de los alimentos, la productividad, la sanidad alimentaria, así como proteger y enriquecer la agrobiodiversidad.	0.85395
Ashtawanka, paktachishka chaypikana taripayta sinchiyachishpa kamanka; chutarik llikata wiñachinka, chay taripashka wiñarik sumakrurayta ranti kuchun sinchiyachinka; shina sumakyachayta yachachun huntachinka.		-0.3
Kayka rimanakuypi tiksichishka kanka; uchilla, malta kapukyachikkunata, kariwarmipak yachaykunata chanishpa rantinchinka. ~~~ Mamallaktaka ayllullaktakunapak, llaktakunapak, llaktayaykunapak yachaytapash wakaychinka, tawkasami kawsay makinchi rurayta rikunka, pachamama muyuntintapash rikunka.	Además, asegurará la investigación aplicada y participativa y la creación de un sistema de extensión, que transferirá la tecnología generada en la investigación, a fin de proporcionar una asistencia técnica, sustentada en un diálogo e intercambio de saberes con los pequeños y medianos productores, valorando el conocimiento de mujeres y hombres.	0.0837687
Kaytaka mutsurik tukuylla yuyaykunata killpanata, charirayanata ushachun kamana kan. ~~~ Shinallatak sapsi yachayta, amawtakunata, sumakyachaykunata, ñawpa yachaykunata charirayachun ukllana, ayllu wiñaysapi tiyak, shukpilla tawka kawsaykunata, tarpuy tawkasami kawsayta achiktalla yuyaypi charichun rikuna.	El Estado velará por el respeto al derecho de las comunidades, pueblos y nacionalidades de conservar y promover sus prácticas de manejo de biodiversidad y su entorno natural, garantizando las condiciones necesarias para que puedan mantener, proteger y desarrollar sus conocimientos colectivos, ciencias, tecnologías, saberes ancestrales y recursos genéticos que contienen la diversidad biológica y la agrobiodiversidad.	-0.0478261
Sapsi yachayta, ñawpa yachaykunata, Mamallaktapak tawkasami yachay tantarishka kakta mayhan yalapash pipash apachun mana sakinachu.	Se prohíbe cualquier forma de apropiación del conocimiento colectivo y saberes ancestrales asociados a la biodiversidad nacional.	0.476974
<p>	<p>	0
10 niki.	Artículo 10.	1.15
Taripayta, chutariyta kamaywasiyanapash- Wiwakuna, tarpuykuna wiñariychun amawta taripayta, sumakrurayta, chutaripash rurankapa, minkankapa mutsurik kamaywasiyayta wiñachinka, mikuna llika hawa arinikunata, tukuylla llaktaykunata yuyachinkapa paktachinka, washapi sakirik nikipi rikuchishkata paktanata yuyachina. ~~~ Kay llankayta pushankapa watapi asha asha kullkita churankami.	Institucionalidad de la investigación y la extensión. ~~~ La ley que regule el desarrollo agropecuario creará la institucionalidad necesaria encargada de la investigación científica, tecnológica y de extensión, sobre los sistemas alimentarios, para orientar las decisiones y las políticas públicas y alcanzar los objetivos señalados en el artículo anterior; y establecerá la asignación presupuestaria progresiva anual para su financiamiento.	-0.0540419
Mamallaktaka hatun yachanawasikuna, wiwamanta, tarpuymanta yachachik Pakta Yachanawasikuna pakllapi kawsak runakuna mañaywan kimirik taripaypi kachun mirachinka, chayllatatak ñawpachichun, willachun mirachinka.	El Estado fomentará la participación de las universidades y colegios técnicos agropecuarios en la investigación acorde a las demandas de los sectores campesinos, así como la promoción y difusión de la misma.	0.703148
<p>	<p>	0
11 niki.	Artículo 11.	1.15
Taripayta, chutariyta yachaykuna.	Programas de investigación y extensión.	0.2625
Washapi sakirik nikipi rikuchishka ukupi taripanata churan, kaytaka Amawta Mamallakta Llikapi, Mamallakta wiñariy paktay yuyaypi rikuchin, shinami wiñarin:	En la instancia de la investigación determinada en el artículo anterior y en el marco del Sistema Nacional de Ciencia y Tecnología y el Plan Nacional de Desarrollo, se creará:	0.440629
<p>	<p>	0
a) Willana yachaykuna, chakramanta llukshik mikunata rurakkunaman sumakyachayta tikra yachachina; ashtawankarin uchilla, malta pukuchikkunami kallaripi kanka; kayka hatun kuskakunapi tawkasami wiñaykunapakmi kanka, tarpuy kawsay chirikunukta, kawsamushka mamamuru sapikunatapash charinka.	a) ~~~ Un programa de difusión y transferencia de tecnología dirigido al sector agroalimentario, con preferencia en los pequeños y medianos productores que tendrá un enfoque de demanda considerando la heterogeneidad de zonas agrobioclimáticas y patrones culturales de producción; y,	0.288889
<p>	<p>	0
b) Mamallaktapak suyukunapi tiyak chikan chikan mikunapak llikakunata allita rikunkapa shuk yachayta rurana kan, kayka mikuna awkiyay alliyachina llaktayta yuyachinkapami rurana kan.	b) ~~~ Un programa para el análisis de los diversos sistemas alimentarios existentes en las diferentes regiones del país, a fin de orientar las políticas de mejoramiento de la soberanía alimentaria.	0.128583
III Kapakniki Kapukyay, pallashkamikuy mintalaypash I wankuriy Kapukyayta mirachi	TÍTULO III PRODUCCIÓN Y COMERCIALIZACIÓN AGROALIMENTARIA CAPÍTULO I FOMENTO A LA PRODUCCIÓN	1.17162
<p>	<p>	0
12 niki.	Artículo 12.	1.15
MirachinkapaHatun Kallari.Mamallakta yanapayka uchilla, malta kapukchikkunaman kachashka kanka, kullkiman yaykurinaman, runakunaman, saywa allpaman, yanapayman, paktapaktaman, kawsaypuraman, ñawpa yachaykunata wakaychiman tiksirishka kanka. ~~~ Shinallatak mana shukllaman kachun, ñawipuraypi kariwarmi pakta kachun,mana chikanyachipi, charirayaypi, ashallapi, imamanta sumakruraypi, alli yuyaypi, imatalla paktanapi, paktashkata punchanta rikunapi, runakunata pushanapi, sumakruraypi, kullkipipash tiksishkami kanka.	Principios generales del fomento. ~~~ Los incentivos estatales estarán dirigidos a los pequeños y medianos productores, responderán a los principios de inclusión económica, social y territorial, solidaridad, equidad, interculturalidad, protección de los saberes ancestrales, imparcialidad, rendición de cuentas, equidad de género, no discriminación, sustentabilidad, temporalidad, justificación técnica, razonabilidad, definición de metas, evaluación periódica de sus resultados y viabilidad social, técnica y económica.	-0.0539943
<p>	<p>	0
13 niki.	Artículo 13.	1.15
Yalli uchilla, uchilla, malta pukuchikkunata mirachina.Tarpushkamanta kapukyachik iñu llankak wasiyukkuna, uchilla llankakwasikuna, malta llankak wasikunata, pachamamapak hayñikunawan, Mamallaktawan yuyarishpa mirachina:	Fomento a la micro, pequeña y mediana producción. ~~~ Para fomentar a los microempresarios, microempresa o micro, pequeña y mediana producción agroalimentaria, de acuerdo con los derechos de la naturaleza, el Estado:	0.129073
<p>	<p>	0
a) Kapukyachikunata allichinkapa, mirachinkapa tukuylla kullki mañachita karanka, kullki churana kullkakunata sinchiyachinka; yanapak kullki mañachitapash kunka, chaypakka kapukta kutin mirarichun kullkita wiñachinka, kaytaka kullkita churana kullkawan mañachinka;	a) Otorgará crédito público preferencial para mejorar e incrementar la producción y fortalecerá las cajas de ahorro y sistemas crediticios solidarios, para lo cual creará un fondo de reactivación productiva que será canalizado a través de estas cajas de ahorro;	0.599904
<p>	<p>	0
b) Murukunata pallaypi, hatun wiwakunata, uchilla wiwakunata charichun tukuyta, ashatallapash mana kullkita hapishpalla yanapana, kaytaka: iñu llankak wasiyukkuna, uchilla, malta llankak wasikunata, pukuchikkunaman karanka; shinami Mamakamachiypak 285 niki, 2 yupaywan kimirishka kanka;	b) Subsidiará total o parcialmente el aseguramiento de cosechas y de ganado mayor y menor para los microempresarios, microempresa o micro, pequeños y medianos productores, de acuerdo al Art. ~~~ 285 numeral 2 de la Constitución de la República;	1.18571
<p>	<p>	0
c) Iñu llankak wasiyukta, uchilla llankakwasita yanapanka, shinallatak iñu, uchilla, malta llankawasiyukkunatapash tantarichun patachinka, yanapanka, mirachinkapash.	c) Regulará, apoyará y fomentará la asociatividad de los microempresarios, microempresa o micro, pequeños y medianos productores, de conformidad con el Art.	0.972794
Kutin Mamakamachiypak 319 nikiwan yuyarishpa kapukyachinkapa, pallankapa, kullkankapa, wakaychinkapa, rantinchinkapa, shuktakyachinkapa,mintalankapa, kapukkunata mikuchunpash yanapanka.	319 de la Constitución de la República para la producción, recolección, almacenamiento, conservación, intercambio, transformación, comercialización y consumo de sus productos.	2.46731
Kaypak kamaywasika tantarinata, sumak rurayta, mintalayta, shuktakkunatapash yachachun yachaykunata wiñachinka, kaytaka tantanakuykuna kikinllatak sinchiyarichun, kawsarayachun yanapanka;	El Ministerio del ramo desarrollará programas de capacitación organizacional, técnica y de comercialización, entre otros, para fortalecer a estas organizaciones y propender a su sostenibilidad;	0.647647
<p>	<p>	0
d) Ñawpa imashina kashkaman tarpuywayllata rurashpa kutintak tikrachishpa charirayankapa kapukyachinata ñawpachinka, mikuna awkiyayta kamankapa tawkasami kapukchita ñawpachinkapash;	d) Promoverá la reconversión sustentable de procesos productivos convencionales a modelos agroecológicos y la diversificación productiva para el aseguramiento de la soberanía alimentaria;	0.8
<p>	<p>	0
e) Makiwanlla chalwana llankayta, chalwata wiñachinata, lunchik muyukunata pallanatapash mirachinka, wakllichishkamanta kullkita kunata alli kachun rikunka;	e) Fomentará las actividades artesanales de pesca, acuacultura y recolección de productos de manglar y establecerá mecanismos de subsidio adecuados;	0.801719
<p>	<p>	0
f) Pakllamanta uchilla, malta tarpuymanta kapukkamachikkuna wiñarichun yanapankapa chaypak llankana ñankunata churanka;	f) Establecerá mecanismos específicos de apoyo para el desarrollo de pequeñas y medianas agroindustrias rurales;	0.731235
<p>	<p>	0
g) May saywarishka allpakunapi runakuna kawsay mana wiñariyshka kakpi kutintak tarpuykuna ashtawan pukuchun alli yachanakunata mirachinka;	g) Implementará un programa especial de reactivación del agro enfocado a las jurisdicciones territoriales con menores índices de desarrollo humano;	0.993786
<p>	<p>	0
h) Pukuchik wasikunapi, imashinami: kullka wasikunapi, kapukkunata shuktakyachikunapi, chakiñankuna allichirichun uchilla wallpawan asha asha kullkita churachun yuyachinka;	h) Incentivará de manera progresiva la inversión en infraestructura productiva: centros de acopio y transformación de productos, caminos vecinales; e,	0.576515
<p>	<p>	0
i) Murukuna mirarichun yanapanka, wiwakunamanta, sachamanta wanukuna allita rakirichun yanapanka, pachamamata ashatalla wakllichik rantishka wanuta allita rakishpa yanapankapash.	i) Facilitará la producción y distribución de insumos orgánicos y agroquímicos de menor impacto ambiental.	0.452419
<p>	<p>	0
14 niki.	Artículo 14.	1.15
Tarpuywayllata, wanuwan tarpuyta mirachi.	Fomento de la producción agroecológica y orgánica.	0.253846
Mamallaktaka tarpuywaylla pukuyta, wanuwan pukuyta charirayaytapash yanapanka; kaytaka mirachina ñanwan, yachaykunawan, chaypak kullki mañachina ñanwan yanapanka; kay llakta ukupi mintalanawan, istallaktapi katuna ukupi mintalana ñanwan, shuktakwanpash yanapanka.	El Estado estimulará la producción agroecológica, orgánica y sustentable, a través de mecanismos de fomento, programas de capacitación, líneas especiales de crédito y mecanismos de comercialización en el mercado interno y externo, entre otros.	0.58304
Tukuyllamanpash rantina katikushpaka, iñu llankay wasiyuk tantanakuymanta kallaripika rantinka, uchilla llankaywasimanta, kariwarmi uchilla pukuchikmanta, tarpuywaylla pukuchikmantapash kallaripika rantinka.	En sus programas de compras públicas dará preferencia a las asociaciones de los microempresarios, microempresa o micro, pequeños y medianos productores y a productores agroecológicos.	0.873454
<p>	<p>	0
15 niki.	Artículo 15.	1.15
Tantarishka paklla tarpuy kapukkamayta miray.	Fomento a la Producción agroindustrial rural asociativa.	0.235714
